CMS Certification Number (CCN),Network,Facility Name,Five Star,Address Line 1,City/Town,State,ZIP Code,County/Parish,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Patient Survival Category Text,Number of Patients included in survival summary,Mortality Rate (Facility),Patient hospitalization category text,Hospitalization Rate (Facility),Patient Hospital Readmission Category,Number of hospitalizations included in hospital readmission summary,Readmission Rate (Facility),Patient Transfusion category text,Transfusion Rate (Facility),Number of patients in this facility for SWR,Standardized First Kidney Transplant Waitlist Ratio,PPPW category text,Number of patients for PPPW,Percentage of Prevalent Patients Waitlisted,Standardized ED visits ratio (Facility),Standardized ED visits within 30 days of hospital discharge ratio (Facility),Standard Infection Ratio,Fistula Category Text,Fistula Rate (Facility),Healthcare worker COVID-19 vaccination adherence percentage,Number of Dialysis Patients with Hgb data,Number of patient-months in hypercalcemia summary,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL
453519,14,Parkland Peritoneal Dialysis Clinic,,4201 Brook Spring Drive,Dallas,TX,75244,Dallas,Non-profit,Yes,Dallas County Hospital District,No,5,No,Yes,No,Not Available,0,,Not Available,,Not Available,0,,Not Available,,11,,Worse than Expected,36,0,,,,Not Available,,,0,207,0,4,23,19,24,31
222562,1,FMC of Newburyport,4,260 Merrimac Street,NEWBURYPORT,MA,1950,Essex,Profit,Yes,Fresenius Medical Care,Yes,13,Yes,Yes,Yes,As Expected,268,18.5,As Expected,174.6,As Expected,68,23.8,As Expected,43.1,23,,Better than Expected,49,53.9,0.94,0.77,0,As Expected,65.9,11,31,660,0,9,23,33,20,15
522608,11,DaVita Lake Delton Dialysis,2,14 COUNTY ROAD P,WISCONSIN DELLS,WI,53965,Sauk,Profit,Yes,DaVita,No,12,Yes,Yes,No,Worse than Expected,162,36.8,As Expected,175.8,As Expected,31,21.9,As Expected,53.9,17,,As Expected,36,15.1,1.51,1.6,0,As Expected,69.4,0,18,374,1,5,19,25,29,22
452829,14,IRC-San Antonio Medical Drive,2,3939  MEDICAL DRIVE,SAN ANTONIO,TX,78229,Bexar,Profit,Yes,American Renal Associates,No,24,Yes,No,No,As Expected,164,26.7,As Expected,204.9,Worse than Expected,33,45.2,Not Available,,6,,As Expected,16,10.5,1.86,0.99,0.47,As Expected,55.4,94,8,268,1,7,26,38,16,14
552669,17,DaVita Davies Dialysis,3,"45 CASTRO STREET, SOUTH TOWER 2ND FLOOR",SAN FRANCISCO,CA,94114,San Francisco,Profit,Yes,DaVita,No,16,Yes,No,No,As Expected,253,19.3,As Expected,129.8,As Expected,61,30,As Expected,29.8,33,,As Expected,40,18.7,1.1,0.74,0.2,As Expected,69.7,4,24,554,3,9,21,29,23,18
752536,17,DaVita Fresno Metro Dialysis,3,4679 W. Spruce Ave Suite 101,Fresno,CA,93727,Fresno,Profit,Yes,DaVita,Yes,32,Yes,No,No,Not Available,42,,As Expected,112.8,As Expected,23,34.1,Not Available,,9,,As Expected,55,22.7,0.62,0,0,As Expected,62,1,12,407,0,8,27,37,16,12
742555,14,DaVita Brodie Lane Dialysis,4,9010 BRODIE LN BLDG A,Austin,TX,78748,Travis,Profit,Yes,DaVita,No,14,Yes,Yes,No,As Expected,148,20.1,As Expected,152.4,As Expected,29,14.2,As Expected,9.6,28,2.08,As Expected,45,13.6,0.57,0.6,0.23,As Expected,69.5,0,12,542,0,6,18,27,26,23
142551,10,FMC - GLENVIEW DIALYSIS CENTER,3,4248 COMMERCIAL WAY,GLENVIEW,IL,60025,Cook,Profit,Yes,Fresenius Medical Care,No,20,Yes,Yes,No,As Expected,215,22.2,As Expected,126.1,As Expected,36,22.8,As Expected,17.9,12,,As Expected,31,12.7,0.73,0.31,0.22,As Expected,67.4,0,21,481,0,5,27,28,25,14
192557,13,FMCNA - AMITE,3,207 W Mulberry,AMITE,LA,70422,Tangipahoa,Profit,Yes,Fresenius Medical Care,No,25,Yes,No,No,As Expected,366,21.7,As Expected,128.6,As Expected,70,27.7,As Expected,40.7,34,0.37,As Expected,87,15.5,0.95,1,0.56,As Expected,63.6,0,14,884,0,10,28,31,19,12
112749,6,FRESENIUS MEDICAL CARE CARROLL COUNTY,3,157 CLINIC AVENUE,CARROLLTON,GA,30117,Carroll,Profit,Yes,Fresenius Medical Care,No,26,Yes,Yes,No,As Expected,490,22.1,As Expected,122.7,As Expected,86,21.3,Worse than Expected,85.2,58,0.96,As Expected,97,10.2,1.27,1.37,0.16,As Expected,64.7,0,29,1039,1,8,22,31,21,18
